human	occupation
859	49757
859	327055
859	482980
859	483501
859	702269
859	1650915
859	2500638
859	4964182
859	16727193
859	20826540
859	24229398
862	28389
862	36180
862	49757
862	214917
862	327055
862	333634
862	482980
862	483501
862	487596
862	702269
862	1650915
862	1790480
862	2500638
862	11774202
862	14467526
862	15980158
862	16727193
862	20826540
862	24229398
862	30102337
868	901
868	11063
868	18805
868	28640
868	36180
868	37226
868	58968
868	169470
868	170790
868	192581
868	327055
868	350979
868	482980
868	483501
868	702269
868	752129
868	864503
868	901402
868	974144
868	1650915
868	2500638
868	4263842
868	4964182
868	6430706
868	6958747
868	11424604
868	15980158
868	16727193
868	17167049
868	20826540
868	24229398
873	33999
873	43845
873	131524
873	327055
873	483501
873	702269
873	713200
873	2259451
873	2405480
873	3282637
873	10798782
873	10800557
873	13235160
873	15980804
873	24229398
882	28389
882	33999
882	36180
882	36834
882	43845
882	131524
882	245068
882	327055
882	482980
882	483501
882	639669
882	702269
882	713200
882	864380
882	978044
882	1251441
882	1414443
882	1415090
882	2259451
882	2462658
882	2500638
882	2526255
882	3282637
882	3455803
882	7042855
882	10800557
882	13235160
882	15980158
882	15980804
882	18814623
882	24229398
882	25713832
885	47064
885	82955
885	327055
885	702269
885	703534
885	1250916
885	1414937
885	24229398
892	28640
892	36180
892	37226
892	43845
892	47064
892	49757
892	189290
892	192581
892	327055
892	333634
892	482980
892	483501
892	702269
892	703534
892	974144
892	1250916
892	1414937
892	1622272
892	1650915
892	1790480
892	2500638
892	3400985
892	4164871
892	4263842
892	4359236
892	4853732
892	5428874
892	6430706
892	6958747
892	11774202
892	14467526
892	15980158
892	16727193
892	17167049
892	20826540
892	24229398
892	30102337
892	61022630
905	28389
905	36180
905	40348
905	49757
905	185351
905	212238
905	327055
905	333634
905	482980
905	483501
905	572700
905	702269
905	703534
905	864380
905	978044
905	1162163
905	1251441
905	1650915
905	1790480
905	2462658
905	2500638
905	6503343
905	6625963
905	11774156
905	12144794
905	14467526
905	15949613
905	15980158
905	16532929
905	16727193
905	18814623
905	20826540
905	24229398
905	25713832
905	30093123
905	30102337
905	80363469
909	28389
909	36180
909	49757
909	182436
909	255274
909	327055
909	333634
909	482980
909	483501
909	702269
909	1650915
909	1662485
909	1790480
909	2500638
909	4263842
909	6430706
909	14467526
909	15980158
909	16727193
909	17167049
909	20826540
909	24229398
909	30102337
913	327055
913	483501
913	702269
913	1650915
913	2500638
913	4964182
913	16727193
913	20826540
913	24229398
920	36180
920	36834
920	49757
920	327055
920	333634
920	482980
920	483501
920	639669
920	702269
920	753110
920	822146
920	1650915
920	1790480
920	2500638
920	6625963
920	14467526
920	16727193
920	20826540
920	24229398
920	30102337
926	36180
926	45199
926	254651
926	327055
926	373021
926	482980
926	483501
926	702269
926	1650915
926	2095549
926	2500638
926	2873500
926	11900058
926	22813352
926	23640580
926	24229398
926	30093123
927	28389
927	36180
927	49757
927	214917
927	327055
927	482980
927	483501
927	702269
927	2500638
927	6625963
927	11774202
927	15980158
927	24229398
930	42973
930	255274
930	327055
930	483501
930	702269
930	1028181
930	2500638
930	3391743
930	5322166
930	24229398
935	901
935	11063
935	28640
935	36180
935	37226
935	43845
935	58968
935	81096
935	82955
935	169470
935	170790
935	192581
935	205375
935	327055
935	482980
935	483501
935	593644
935	702269
935	974144
935	1234713
935	1430956
935	1622272
935	1650915
935	2500638
935	3400985
935	4359236
935	4964182
935	5428874
935	6958747
935	12797895
935	15319501
935	15980158
935	16727193
935	17573152
935	18931911
935	19829980
935	20826540
935	22082749
935	24229398
937	901
937	28640
937	36180
937	37226
937	43845
937	81096
937	169470
937	170790
937	192581
937	205375
937	212238
937	327055
937	482980
937	483501
937	572700
937	702269
937	703534
937	974144
937	978044
937	1162163
937	1231865
937	1251441
937	1622272
937	1650915
937	2462658
937	2500638
937	3400985
937	4359236
937	4964182
937	5428874
937	6958747
937	15319501
937	15980158
937	16532929
937	16727193
937	18931911
937	20826540
937	24229398
937	25713832
937	80363469
939	36180
939	36834
939	49757
939	82955
939	327055
939	482980
939	483501
939	639669
939	702269
939	2500638
939	24229398
946	36180
946	82955
946	201788
946	327055
946	482980
946	483501
946	702269
946	1650915
946	2500638
946	15980158
946	16727193
946	20826540
946	24229398
949	901
949	28640
949	37226
949	43845
949	81096
949	169470
949	192581
949	205375
949	327055
949	483501
949	702269
949	974144
949	1326886
949	1391344
949	1622272
949	1650915
949	2500638
949	2588761
949	3400985
949	4359236
949	5428874
949	6958747
949	20826540
949	24229398
984	36180
984	327055
984	482980
984	483501
984	702269
984	2500638
984	6625963
984	11499147
984	15253558
984	15980158
984	24229398
984	34074720
989	28640
989	36180
989	37226
989	42603
989	43845
989	49757
989	82955
989	121594
989	161944
989	177826
989	192581
989	250867
989	327055
989	482980
989	483501
989	601401
989	702269
989	831474
989	860918
989	974144
989	1423891
989	1476215
989	1622272
989	1650915
989	2259532
989	2500638
989	3315492
989	3400985
989	4359236
989	4964182
989	5428874
989	6958747
989	11499147
989	15253558
989	16727193
989	17573152
989	20826540
989	24229398
989	25393460
991	28640
